id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1490575843483320320,1490575843483320320,1644215949000.0,2022-02-06 22:39:09,-0700,,"#BeijingVirus/#XiVirus/#CCPVirus 395,981,597++ &amp; 5,758,705++ deaths US 926K+/BRA 632K+/IND 502K++/RUS 335K(670K+?)IRN?deaths: Anthony N Albanese/58 yr old/Leader- Australian Labor Party/Parliament House Canberra/Ph 61262774022/1 kid- Nathan: @Russia @IranGov_ar @liberation_pla",en,"['beijingvirus', 'xivirus', 'ccpvirus']",[],1120161161649876992,1120161161649876992,whynotstop123,Anthony Pollock,7,22,https://twitter.com/whynotstop123/status/1490575843483320320,[],[],0,,False,0,0,0,https://twitter.com/tfiglobal/status/1486688531099492355,#beijingvirus,,,,,,,[],,,,
1489856521165209602,1489856521165209602,1644044449000.0,2022-02-04 23:00:49,-0700,,"#CCPVirus/#BeijingVirus/#XiVirus 391,603,771++ &amp; 5,744,586++ deaths. US 924K+/BRA 631K+/IND 501K++/RUS 334K(668K+?)IRN?deaths:Anthony N Albanese/58 yr old/Leader-Australian Labor Party/Parliament House Canberra/Ph 61262774022/1 kid-Nathan Albanese: @Iran @globaltimes @SovFedInfo",en,"['ccpvirus', 'beijingvirus', 'xivirus']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),5,23,https://twitter.com/BrucePollock13/status/1489856521165209602,[],[],0,,False,0,0,0,https://twitter.com/EasheyTsewang/status/1488739695718633474,#beijingvirus,,,,,,,[],,,,
1489492511882379264,1489492511882379264,1643957662000.0,2022-02-03 22:54:22,-0700,,"#XiVirus/#CCPVirus/#BeijingVirus 388,528,063++ &amp; 5,731,636++ deaths. US 920K+/BRA 630K+/IND 500K++/RUS 333K(666K+?)/IRN?deaths:Daniel Andrews//49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Lives in Mulgrave, Victoria: @Amirabdolahian @UNDPIran @NCUSCR",en,"['xivirus', 'ccpvirus', 'beijingvirus']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),4,22,https://twitter.com/BrucePollock13/status/1489492511882379264,[],[],0,,False,0,0,0,https://twitter.com/HoAbedini/status/1488244375876472833,#beijingvirus,,,,,,,[],,,,
1489147175854501888,1489147175854501888,1643875328000.0,2022-02-03 00:02:08,-0700,,"#BeijingVirus/#XiVirus/#CCPVirus 385,416,660++ &amp; 5,719,259++ deaths. US 917K+/BRA 629K+/IND 498K++/RUS 332K(664K+?)IRN?deaths:Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife- Cathy Andrews: @JZarif @mfa_russia @globaltimes #CCP",en,"['beijingvirus', 'xivirus', 'ccpvirus', 'ccp']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),4,00,https://twitter.com/BrucePollock13/status/1489147175854501888,[],[],0,,False,1,0,0,https://twitter.com/tfiglobal/status/1488387764944977920,#beijingvirus,,,,,,,[],,,,
1488764323472474114,1488764323472474114,1643784049000.0,2022-02-01 22:40:49,-0700,,"#CCPVirus/#BeijingVirus/#XiVirus 382,235,372++ &amp; 5,706,441++ deaths. US 913K+/BRA 628K+/IND 497K++/RUS 332K(664K+?)IRN?deaths.Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne. Vic/Ph 61396515000/Wife- Cathy Andrews: @dumagovru @IranNewsNow @zlj517 #CCP",en,"['ccpvirus', 'beijingvirus', 'xivirus', 'ccp']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),2,22,https://twitter.com/BrucePollock13/status/1488764323472474114,[],[],0,,False,0,0,0,https://twitter.com/tfiglobal/status/1486688531099492355,#beijingvirus,,,,,,,[],,,,
1488423441560584193,1488423441560584193,1643702776000.0,2022-02-01 00:06:16,-0700,,"#XiVirus/#CCPVirus/#BeijingVirus 378,871,248++ &amp; 5,692,327++ deaths. US 910K+/BRA 627K+/IND 496K++/RUS 331K(662K+?)IRN?deaths:Daniel Andrews/Victorian Premier/49 yr old/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife- Cathy Andrews: @UNDPIran @China_81_Mili @SovFedInfo",en,"['xivirus', 'ccpvirus', 'beijingvirus']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),2,00,https://twitter.com/BrucePollock13/status/1488423441560584193,[],[],0,,False,0,0,0,https://twitter.com/whynotstop123/status/1488336412785057795,#beijingvirus,,,,,,,[],,,,
1488047220482281472,1488047220482281472,1643613078000.0,2022-01-30 23:11:18,-0700,,"#BeijingVirus/#XiVirus/#CCPVirus 375,241,630++ &amp; 5,681,745++ deaths. US 907K+/BRA 626K+/IND 495K++/RUS 330K(660K+?)IRN?deaths:Daniel M Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife/3 kids: @dumagovru @IranGov @globaltimes @zlj517",en,"['beijingvirus', 'xivirus', 'ccpvirus']",[],1258361805375565825,1258361805375565825,BrucePollock13,Anthony Pollock (Bruce is our dog),7,23,https://twitter.com/BrucePollock13/status/1488047220482281472,[],[],0,,False,0,0,0,https://twitter.com/whynotstop123/status/1487971212714459136,#beijingvirus,,,,,,,[],,,,
1486968772590141442,1486968772590141442,1643355956000.0,2022-01-27 23:45:56,-0700,,"#CCPVirus/#BeijingVirus/#XiVirus 366,918,704++ &amp; 5,656,958++deaths. US 902K+/BRA 625K+/IND 492K++/RUS 328K(656K+?)IRN?deaths: Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Lives-Mulgrave, Vic: @MID_RF @IRIMFA_EN @XinhuaBrisMUN @MFA_China",en,"['ccpvirus', 'beijingvirus', 'xivirus']",[],1120161161649876992,1120161161649876992,whynotstop123,Anthony Pollock,4,23,https://twitter.com/whynotstop123/status/1486968772590141442,[],[],0,,False,0,0,0,https://twitter.com/whynotstop123/status/1486864414351319042,#beijingvirus,,,,,,,[],,,,
1486588272507645956,1486588272507645956,1643265238000.0,2022-01-26 22:33:58,-0700,,"#XiVirus/#CCPVirus/#BeijingVirus 363,272,795++ &amp; 5,645,913++ deaths. US 898K+/BRA 624K+/IND 491K++/RUS 328K(656K+?)IRN?deaths:Mr Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Lives in Mulgrave, Vic: @mod_russia @IRIMFA_EN @Beijing2022",en,"['xivirus', 'ccpvirus', 'beijingvirus']",[],1120161161649876992,1120161161649876992,whynotstop123,Anthony Pollock,3,22,https://twitter.com/whynotstop123/status/1486588272507645956,[],[],0,,False,0,0,0,https://twitter.com/PromoteUkraine/status/1486388926927491079,#beijingvirus,,,,,,,[],,,,
1486226394090971137,1486226394090971137,1643178959000.0,2022-01-25 22:35:59,-0700,,"#BeijingVirus/#XiVirus/#CCPVirus 359,349,524++ &amp; 5,634,663++ deaths. US 894K+/BRA 623K+/IND 491K++/RUS 327K++(654K+?)deaths:Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife/3 kids: @KremlinRussia_E @Iran_GOV #CCP  https://t.co/AiSjbOPy8o",en,"['beijingvirus', 'xivirus', 'ccpvirus', 'ccp']",[],1120161161649876992,1120161161649876992,whynotstop123,Anthony Pollock,2,22,https://twitter.com/whynotstop123/status/1486226394090971137,['https://news.usni.org/2022/01/24/2-u-s-aircraft-carriers-now-in-south-china-sea-as-chinese-air-force-flies-39-aircraft-near-taiwan'],[],0,,False,0,0,0,,#beijingvirus,,,,,,,[],,,,
