id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,no_hashtag
1496990904019611670,1496990904019611670,1645745418000.0,2022-02-24 15:30:18,-700,,Today’s leftist quandary… #Putin or #Trudeau ???  #TruckersForFreedom  #BlackfaceHitler  #Ukraine  https://t.co/73LuPFy1ZM,en,"['putin', 'trudeau', 'truckersforfreedom', 'blackfacehitler', 'ukraine']",[],1380069160865124357,1380069160865124357,BronaghHayes,Brónagh Hayes,4,15,https://twitter.com/BronaghHayes/status/1496990904019611670,[],['https://pbs.twimg.com/media/FMZhSqUWUAAWnDr.jpg'],1,https://pbs.twimg.com/media/FMZhSqUWUAAWnDr.jpg,False,18,0,5,,#TruckersForFreedom,,,,,,,[],,,,,Today’s leftist quandary…  or  ???        
1496990431112220673,1496990431112220673,1645745306000.0,2022-02-24 15:28:26,-700,,"#TruckersForFreedom2022 #TruckersForFreedom #TrudeauDictatorshipMustGo #TyrantTrudeau #Truckersforfreedomconvoy2022 - while all u IDIOTS r sitting there in your trucks, watch this (see below) to grasp what you’re sitting there for...it’s NOT #Freedom... it’s to destroy Western",en,"['truckersforfreedom2022', 'truckersforfreedom', 'trudeaudictatorshipmustgo', 'tyranttrudeau', 'truckersforfreedomconvoy2022', 'freedom']",[],761259480164274176,761259480164274176,DaniGramFLA,DaniGram 🇺🇦🇺🇦🇺🇦🇺🇦,4,15,https://twitter.com/DaniGramFLA/status/1496990431112220673,[],[],0,,False,0,1,0,,#TruckersForFreedom,,,,,,,[],,,,,"     - while all u IDIOTS r sitting there in your trucks, watch this (see below) to grasp what you’re sitting there for...it’s NOT ... it’s to destroy Western"
1496989376416522244,1496988176602308612,1645745054000.0,2022-02-24 15:24:14,-700,,"It was Russian $ funding your activities in Ottawa + elsewhere, filtered via American and other donors. Get a hold of yourself. Get back to reality. Leave your cult behind and get behind your country, so we can help others who are fleeing imminent death. #TruckersForFreedom",en,['truckersforfreedom'],[],237109715,237109715,MelissaMunro1,Melissa Munro,4,15,https://twitter.com/MelissaMunro1/status/1496989376416522244,[],[],0,,False,0,0,0,,#TruckersForFreedom,,,,,,,[],,,,,"It was Russian $ funding your activities in Ottawa + elsewhere, filtered via American and other donors. Get a hold of yourself. Get back to reality. Leave your cult behind and get behind your country, so we can help others who are fleeing imminent death. "
1496988870235332611,1496988870235332611,1645744934000.0,2022-02-24 15:22:14,-700,,how about fuck you twitter kiss my ass communist fucks #FreedomConvoyCanada2022  #FreedomConvoy  #fucktheleft #TruckersForFreedom,en,"['freedomconvoycanada2022', 'freedomconvoy', 'fucktheleft', 'truckersforfreedom']",[],393888321,393888321,Vylentwayz,John Wayne's 45,4,15,https://twitter.com/Vylentwayz/status/1496988870235332611,[],[],0,,False,0,1,0,,#TruckersForFreedom,,,,,,,[],,,,,how about fuck you twitter kiss my ass communist fucks      
1496988211310116871,1496988211310116871,1645744776000.0,2022-02-24 15:19:36,-700,,"As we stand on the brink of World War III, I think the last thing we need is a bunch of self-righteous truckers on a misguided ""crusade"" to cause humanity one more unnecessary headache.  #TruckersForFreedom #TruckersGoHome #Truckers #Truckersforfreedomconvoy2022 #Peace #Biden  https://t.co/r8smbMeCdt",en,"['truckersforfreedom', 'truckersgohome', 'truckers', 'truckersforfreedomconvoy2022', 'peace', 'biden']",[],1311020003714576384,1311020003714576384,MamalehTrumpOG,Mamaleh Trump,4,15,https://twitter.com/MamalehTrumpOG/status/1496988211310116871,[],['https://pbs.twimg.com/media/FMZexiYXsAMCvqT.jpg'],1,https://pbs.twimg.com/media/FMZexiYXsAMCvqT.jpg,False,72,12,17,,#TruckersForFreedom,,,,,,,[],,,,,"As we stand on the brink of World War III, I think the last thing we need is a bunch of self-righteous truckers on a misguided ""crusade"" to cause humanity one more unnecessary headache.         "
1496987602095943688,1496973980946866177,1645744631000.0,2022-02-24 15:17:11,-700,,"@KellyAizicowitz @gmbutts #TruckersForFreedom2022 #TruckersForFreedom  #TrudeauDictatorshipMustGo   Hey Ottawa Convoy/Occupation people 👋 Pay attention to this tweet, this is what ""freedom"" is all about, brave Russians standing up to their dictator only highlights your privilege of being Canadian.",en,"['truckersforfreedom2022', 'truckersforfreedom', 'trudeaudictatorshipmustgo']",[],3130365610,3130365610,MelissaogradyO,Melissa,4,15,https://twitter.com/MelissaogradyO/status/1496987602095943688,[],[],0,,False,0,0,1,,#TruckersForFreedom,,,,,,,"[{'screen_name': 'KellyAizicowitz', 'name': 'Kelly Aizicowitz', 'id': '19970479'}, {'screen_name': 'gmbutts', 'name': 'Gerald Butts', 'id': '212621119'}]",,,,,"        Hey Ottawa Convoy/Occupation people 👋 Pay attention to this tweet, this is what ""freedom"" is all about, brave Russians standing up to their dictator only highlights your privilege of being Canadian."
1496987594932031489,1496987594932031489,1645744629000.0,2022-02-24 15:17:09,-700,,"The #TruckersForFreedom have less and less to protest, not that they really had anything to protest anyways.",en,['truckersforfreedom'],[],584041637,584041637,FedUpGOPer,Fed Up Republican,4,15,https://twitter.com/FedUpGOPer/status/1496987594932031489,[],[],0,,False,0,0,0,https://twitter.com/ZekeJMiller/status/1496985182758334466,#TruckersForFreedom,,,,,,,[],,,,,"The  have less and less to protest, not that they really had anything to protest anyways."
1496987341084192785,1496987341084192785,1645744569000.0,2022-02-24 15:16:09,-700,,Indeed. #FluTrucksKlan #TruckersForFreedom #KarenConvoy,en,"['flutrucksklan', 'truckersforfreedom', 'karenconvoy']",[],22662650,22662650,Yabko1959,"I Stand with Ukraine (Shewchuk, Vaxxed & Masked)",4,15,https://twitter.com/Yabko1959/status/1496987341084192785,[],[],0,,False,2,0,1,https://twitter.com/KellyAizicowitz/status/1496973980946866177,#TruckersForFreedom,,,,,,,[],,,,,Indeed.   
1496987041564962818,1496987041564962818,1645744498000.0,2022-02-24 15:14:58,-700,,"Laughing at the leftists &amp; politicians who praise the Russians &amp; Ukrainians protesting #Putin, but also praised  @JustinTrudeau for cracking down on #TruckersForFreedom protesting in Canada! You lot are shameless 🤦🏻‍♀️🤦🏻‍♀️",en,"['putin', 'truckersforfreedom']",[],1380069160865124357,1380069160865124357,BronaghHayes,Brónagh Hayes,4,15,https://twitter.com/BronaghHayes/status/1496987041564962818,[],[],0,,False,9,0,1,,#TruckersForFreedom,,,,,,,[],,,,,"Laughing at the leftists and politicians who praise the Russians and Ukrainians protesting , but also praised   for cracking down on  protesting in Canada! You lot are shameless 🤦🏻‍♀️🤦🏻‍♀️"
1496985159220006917,1496985159220006917,1645744049000.0,2022-02-24 15:07:29,-700,,So I would just like to point out that over 1700 #Russians protesting against their own governments activities were taken into custody today. It's almost like they are #TruckersForFreedom in #Canada or something. Do you critically think much?,en,"['russians', 'truckersforfreedom', 'canada']",[],28703779,28703779,fondalo,Robert Caruso,4,15,https://twitter.com/fondalo/status/1496985159220006917,[],[],0,,False,1,1,2,,#TruckersForFreedom,,,,,,,[],,,,,So I would just like to point out that over 1700  protesting against their own governments activities were taken into custody today. It's almost like they are  in  or something. Do you critically think much?
1496984018767728651,1496984018767728651,1645743777000.0,2022-02-24 15:02:57,-700,,Truck yeah! #TruckersForFreedom,en,['truckersforfreedom'],[],1362809326927110146,1362809326927110146,SamyBoots,samyboots,4,15,https://twitter.com/SamyBoots/status/1496984018767728651,[],[],0,,False,1,0,0,https://twitter.com/OzraeliAvi/status/1496958490015051777,#TruckersForFreedom,,,,,,,[],,,,,Truck yeah! 
1496983495616380929,1496884477926141952,1645743652000.0,2022-02-24 15:00:52,-700,,@davidlitt @JoshuaGrotting You were dead silent about the truckers of Canada...🇨🇦 #EndTheMandates #TruckersForFreedom #BankRun,en,"['endthemandates', 'truckersforfreedom', 'bankrun']",[],58685992,58685992,jmb063,joèl b,4,15,https://twitter.com/jmb063/status/1496983495616380929,[],[],0,,False,5,0,3,,#TruckersForFreedom,,,,,,,"[{'screen_name': 'davidlitt', 'name': 'David Litt', 'id': '55303898'}, {'screen_name': 'JoshuaGrotting', 'name': '𝔓𝔩𝔞𝔤𝔲𝔢 𝔍𝔢𝔰𝔱𝔢𝔯 🏴\u200d☠️ ✵', 'id': '15141865'}]",,,,,  You were dead silent about the truckers of Canada...🇨🇦   
1496981585412775937,1496979974808473600,1645743197000.0,2022-02-24 14:53:17,-700,,@UFO_JohnDoe of a bankrupt corporation. Trump bankrupted IRS and FED also. We The People are in control 🇺🇸 #TruckersForFreedom,en,['truckersforfreedom'],[],823964445969784832,823964445969784832,Mohamed1Jim,JackpotJim,4,14,https://twitter.com/Mohamed1Jim/status/1496981585412775937,[],[],0,,False,0,1,0,,#TruckersForFreedom,,,,,,,"[{'screen_name': 'UFO_JohnDoe', 'name': 'How to Serve Man', 'id': '1473052752976642050'}]",,,,, of a bankrupt corporation. Trump bankrupted IRS and FED also. We The People are in control 🇺🇸 
1496981333637140481,1496981333637140481,1645743137000.0,2022-02-24 14:52:17,-700,,Major hat tip to these officers.  #FreedomConvoyCanada #OttawaConvoy #COVID19 #TruckersForFreedom #mentalillness #cndpoli,en,"['freedomconvoycanada', 'ottawaconvoy', 'covid19', 'truckersforfreedom', 'mentalillness', 'cndpoli']",[],46559124,46559124,luvnlaugh,Barbara,4,14,https://twitter.com/luvnlaugh/status/1496981333637140481,[],[],0,,False,0,0,0,https://twitter.com/JaneQCitizen/status/1496971138164924416,#TruckersForFreedom,,,,,,,[],,,,,Major hat tip to these officers.       
1496980670681288704,1496980670681288704,1645742979000.0,2022-02-24 14:49:39,-700,,"Canada's banks lifting freeze on accounts, government getting sued  https://t.co/5KT6BCjxm9   #FreedomConvoyCanada #TruckersForFreedom #TrudeauFailedCanada #TrudeauDictatorshipMustGo  https://t.co/CbYWp3A7rv",en,"['freedomconvoycanada', 'truckersforfreedom', 'trudeaufailedcanada', 'trudeaudictatorshipmustgo']",[],1416891190847283203,1416891190847283203,StaffEditorial,Watchman.Today 🍊,4,14,https://twitter.com/StaffEditorial/status/1496980670681288704,['https://watchman.today/index.php/2022/02/24/canadas-banks-lifting-freeze-on-accounts-government-getting-sued/'],['https://pbs.twimg.com/media/FMZXt-KUcAM-Gk8.jpg'],1,https://pbs.twimg.com/media/FMZXt-KUcAM-Gk8.jpg,False,0,0,0,,#TruckersForFreedom,,,,,,,[],,,,,"Canada's banks lifting freeze on accounts, government getting sued          "
